title,link,Processed
"Nổ trạm biến áp, hơn 100.000 người mất điện",https://vnexpress.net/no-tram-bien-ap-hon-100-000-nguoi-mat-dien-4788127.html,1
Dự án chống ngập cao tốc không thể xong trước cao điểm mùa mưa,https://vnexpress.net/du-an-chong-ngap-cao-toc-khong-the-xong-truoc-cao-diem-mua-mua-4788005.html,1
Cấm xe 20 tuyến đường trung tâm TP HCM tối 2/9,https://vnexpress.net/cam-xe-20-tuyen-duong-trung-tam-tp-hcm-toi-2-9-4787999.html,1
Nhà ga sân bay Long Thành sau một năm xây dựng,https://vnexpress.net/nha-ga-san-bay-long-thanh-sau-mot-nam-xay-dung-4787300.html,1
Chính sách nổi bật có hiệu lực từ tháng 9,https://vnexpress.net/chinh-sach-noi-bat-co-hieu-luc-tu-thang-9-4787159.html,1
Khởi nghiệp nuôi gà 'nhân đạo',https://vnexpress.net/khoi-nghiep-nuoi-ga-nhan-dao-4786554.html,1
Thừa Thiên Huế sắp thành đô thị loại I,https://vnexpress.net/thua-thien-hue-sap-thanh-do-thi-loai-i-4787790.html,1
Mây lạ xuất hiện ở Bình Dương,https://vnexpress.net/may-la-xuat-hien-o-binh-duong-4788025.html,1
Lội bùn bắt cá trong lễ hội 'phá Trằm Trà Lộc',https://vnexpress.net/loi-bun-bat-ca-trong-le-hoi-pha-tram-tra-loc-4787970.html,1
Hai anh em đuối nước trên sông Bồ,https://vnexpress.net/hai-anh-em-duoi-nuoc-tren-song-bo-4788024.html,1
"Đà Nẵng phá bỏ hai khu chung cư cũ nát làm công viên, bãi đỗ xe",https://vnexpress.net/da-nang-pha-bo-hai-khu-chung-cu-cu-nat-lam-cong-vien-bai-do-xe-4787992.html,1
"Thủ tướng: Tạo thuận lợi nhất cho người dân, doanh nghiệp làm thủ tục hành chính",https://vnexpress.net/thu-tuong-tao-thuan-loi-nhat-cho-nguoi-dan-doanh-nghiep-lam-thu-tuc-hanh-chinh-4787889.html,1
Ôtô hạng sang biến dạng sau tai nạn,https://vnexpress.net/oto-hang-sang-bien-dang-sau-tai-nan-4787983.html,1
Lễ cầu siêu cho nạn nhân tai nạn giao thông,https://vnexpress.net/le-cau-sieu-cho-nan-nhan-tai-nan-giao-thong-4787943.html,1
4 người được giải cứu trong vụ cháy chung cư,https://vnexpress.net/4-nguoi-duoc-giai-cuu-trong-vu-chay-chung-cu-4787876.html,1
Kẹt xe từ sáng tới trưa ở cửa ngõ phía Đông TP HCM,https://vnexpress.net/ket-xe-tu-sang-toi-trua-o-cua-ngo-phia-dong-tp-hcm-4787917.html,1
Đường ven biển 1.000 tỷ đồng hư hỏng sau trận ngập,https://vnexpress.net/duong-ven-bien-1-000-ty-dong-hu-hong-sau-tran-ngap-4787884.html,1
Phà mới tốc độ cao ra đảo Cát Bà,https://vnexpress.net/pha-moi-toc-do-cao-ra-dao-cat-ba-4787752.html,1
5 sinh viên lạc trong rừng khi leo đỉnh Langbiang,https://vnexpress.net/leo-nui-langbiang-4787865.html,1
Bình Định khánh thành đường xuống biển Tam Quan,https://vnexpress.net/binh-dinh-khanh-thanh-duong-xuong-bien-tam-quan-4787786.html,1
Cao tốc Mai Sơn - quốc lộ 45 tê liệt nhiều giờ sau tai nạn,https://vnexpress.net/cao-toc-mai-son-quoc-lo-45-te-liet-nhieu-gio-sau-tai-nan-4787856.html,1
Nhà hai tầng ở TP HCM cháy ngùn ngụt,https://vnexpress.net/nha-hai-tang-o-tp-hcm-chay-ngun-ngut-4787841.html,1
Tháp hình cánh hoa dầu cao 24 m ở phố đi bộ Bình Dương,https://vnexpress.net/thap-hinh-canh-hoa-dau-cao-24-m-o-pho-di-bo-binh-duong-4787312.html,1
Học viên người Việt lần đầu vận hành thử Metro số 1,https://vnexpress.net/hoc-vien-nguoi-viet-lan-dau-van-hanh-thu-metro-so-1-4787748.html,1
Đà Nẵng khánh thành quảng trường 10 ha,https://vnexpress.net/da-nang-khanh-thanh-quang-truong-10-ha-4787791.html,1
Ba nam sinh nhận huy hiệu Tuổi trẻ dũng cảm vì cứu hai người đuối nước,https://vnexpress.net/ba-nam-sinh-nhan-huy-hieu-tuoi-tre-dung-cam-vi-cuu-hai-nguoi-duoi-nuoc-4787751.html,1
Nhiều chuyến bay còn trống chỗ dịp 2/9,https://vnexpress.net/nhieu-chuyen-bay-con-trong-cho-dip-2-9-4787726.html,1
"Dòng xe ùn ứ ở cửa ngõ Hà Nội, TP HCM trước kỳ nghỉ lễ",https://vnexpress.net/dong-xe-un-u-o-cua-ngo-ha-noi-tp-hcm-truoc-ky-nghi-le-4787702.html,1
Đèo Bảo Lộc nguy cơ sạt lở,https://vnexpress.net/deo-bao-loc-sat-lo-4787737.html,1
Nhiều nơi mưa vào chiều tối dịp nghỉ lễ 2/9,https://vnexpress.net/nhieu-noi-mua-vao-chieu-toi-dip-nghi-le-2-9-4787704.html,1
Tàu hỏa đẩy ôtô hơn 200 m sau tai nạn,https://vnexpress.net/tau-hoa-day-oto-hon-200-m-sau-tai-nan-4787625.html,1
Liên danh Hàn Quốc tư vấn quản lý khai thác sân bay Long Thành,https://vnexpress.net/lien-danh-han-quoc-tu-van-quan-ly-khai-thac-san-bay-long-thanh-4787581.html,1
Bên trong nhà máy xử lý nước thải lớn nhất nước ở TP HCM,https://vnexpress.net/ben-trong-nha-may-xu-ly-nuoc-thai-lon-nhat-nuoc-o-tp-hcm-4787524.html,1
TP HCM sẽ giải tỏa hơn 1.800 hộ làm cao tốc nối đến Mộc Bài,https://vnexpress.net/tp-hcm-se-giai-toa-hon-1-800-ho-lam-cao-toc-noi-den-moc-bai-4787536.html,1
"Lãnh đạo Đảng, Nhà nước vào lăng viếng Chủ tịch Hồ Chí Minh",https://vnexpress.net/lanh-dao-dang-nha-nuoc-vao-lang-vieng-chu-tich-ho-chi-minh-4787516.html,1
Bộ đội rà soát hiện trường hai vụ nổ ở Nghệ An,https://vnexpress.net/bo-doi-ra-soat-hien-truong-hai-vu-no-o-nghe-an-4787440.html,1
"Lào Cai, Thái Nguyên ngập sâu do mưa lớn",https://vnexpress.net/lao-cai-thai-nguyen-ngap-sau-do-mua-lon-4787456.html,1
"Đường xuyên rặng dừa, nối phố biển trước ngày khánh thành",https://vnexpress.net/duong-xuyen-rang-dua-noi-pho-bien-truoc-ngay-khanh-thanh-4786427.html,1
Dùng flycam chống kẹt xe cầu Rạch Miễu dịp lễ 2/9,https://vnexpress.net/dung-flycam-chong-ket-xe-cau-rach-mieu-dip-le-2-9-4787234.html,1
"Chủ đầu tư bác thông tin 'thi công đường gây ngập nhà, vườn thanh long'",https://vnexpress.net/chu-dau-tu-bac-thong-tin-thi-cong-duong-gay-ngap-nha-vuon-thanh-long-4787274.html,1
"Khách qua Tân Sơn Nhất, Nội Bài dịp lễ 2/9 giảm",https://vnexpress.net/khach-qua-tan-son-nhat-noi-bai-dip-le-2-9-giam-4787267.html,1
